0;6578
1;3
2;0
3;0
4;5956
5;0
6;0
7;63
8;9848
9;22
10;2533
11;852
12;0
13;0
14;2
15;0
16;0
17;2361
18;0
19;0
20;0
21;0
22;0
23;0
24;0
25;0
26;0
27;0
28;0
29;0
30;0
31;0
32;0
33;0
34;0
35;0
36;0
37;0
38;0
39;0
40;0
41;0
42;6656
43;18
44;0
45;0
46;0
47;0
48;1083
49;0
50;2285
51;0
52;0
53;93
54;75
55;782
56;0
57;0
58;0
59;0
60;0
61;0
62;0
63;0
64;0
65;0
66;0
67;0
68;0
69;0
70;0
71;0
72;0
73;0
74;0
75;5284
76;0
77;0
78;2516
79;0
80;0
81;0
82;0
83;0
84;2386
85;0
86;0
87;0
88;0
89;2521
90;4611
91;1872
92;2016
93;0
94;1329
95;2458
96;1881
97;8606
98;2252
99;2147
100;3478
101;2058
102;4074
103;1082
104;6592
105;16867
106;1702
107;5199
108;2035
109;1845
110;1405
111;1442
112;2936
113;2940
114;1939
115;11
116;3
117;2757
118;1887
119;2414
120;2826
121;8029
122;2334
123;1704
124;4469
125;2474
126;79
127;1297
128;58
129;22
130;4613
131;3145
132;0
133;1742
134;2399
135;3037
136;2794
137;2530
138;2096
139;4951
140;5385
141;1387
142;31
143;0
144;0
145;0
146;0
147;0
148;2088
