0,6291117
1,38
2,3
3,0
4,12785831
5,1
6,1
7,77135
8,17452720
9,30902
10,3116257
11,80674
12,1
13,0
14,1151
15,1614
16,0
17,119927
18,19
19,0
20,0
21,4
22,0
23,0
24,1
25,4
26,6
27,1
28,0
29,99
30,0
31,31
32,0
33,0
34,58
35,0
36,1
37,0
38,1175
39,155
40,261
41,89
42,2583368
43,67
44,0
45,0
46,6
47,0
48,127278
49,0
50,19117
51,0
52,0
53,668
54,155
55,1200
56,1224690
57,8
58,0
59,14
60,1
61,7
62,0
63,0
64,70
65,0
66,0
67,7
68,0
69,8
70,0
71,9
72,354
73,8
74,0
75,13981
76,0
77,0
78,12613
79,0
80,0
81,0
82,0
83,0
84,5409
85,7
86,0
87,0
88,378
89,121585
90,1164559
91,78537
92,755737
93,7502
94,131269
95,760878
96,981017
97,10722466
98,175015
99,434974
100,255747
101,134707
102,1572625
103,121623
104,12972120
105,28107709
106,79621
107,1619301
108,182417
109,486271
110,179290
111,58813
112,157985
113,114476
114,114309
115,8714
116,7365
117,422779
118,192970
119,280347
120,67399
121,11010262
122,344026
123,184520
124,305929
125,281650
126,35200
127,344306
128,67882
129,1558245
130,3153172
131,605471
132,1743552
133,105434
134,1262847
135,189671
136,2128690
137,2186755
138,388337
139,6788835
140,2491485
141,222403
142,3475
143,0
144,0
145,0
146,0
147,0
148,91672
