0,3769
1,370
2,0
3,62
4,2962
5,0
6,0
7,810
8,2501
9,3360
10,4000
11,2352
12,0
13,0
14,1660
15,623
16,0
17,9212
18,11
19,0
20,0
21,25
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,111
30,0
31,0
32,0
33,0
34,121
35,0
36,0
37,0
38,910
39,174
40,249
41,72
42,6892
43,872
44,0
45,0
46,6
47,0
48,6370
49,0
50,6780
51,0
52,0
53,411
54,415
55,1877
56,3721
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,529
65,0
66,0
67,4
68,0
69,15
70,0
71,6
72,1206
73,18
74,0
75,15122
76,0
77,0
78,15500
79,0
80,0
81,0
82,0
83,0
84,17286
85,122
86,0
87,0
88,1745
89,5862
90,3050
91,3490
92,3680
93,1340
94,2405
95,1429
96,4820
97,2061
98,2806
99,9548
100,11938
101,6672
102,8117
103,2326
104,2777
105,1419
106,5889
107,3409
108,3592
109,6753
110,2804
111,3674
112,2682
113,2209
114,4078
115,3769
116,1200
117,4257
118,6224
119,2368
120,12703
121,2402
122,3820
123,6988
124,12959
125,12680
126,4409
127,1416
128,979
129,2127
130,5793
131,1791
132,452
133,16084
134,5928
135,6052
136,2463
137,2479
138,3923
139,4053
140,5576
141,4792
142,321
143,0
144,0
145,0
146,0
147,74
148,7919
