274881	213168	160112	121738	88483	47232	69302	219387	329604	443613	405998	341787	328653	312029	305511	293482	247296	210022	263800	308885	320975	330021	334482	320656
4	2	2	1	1	0	0	0	1	3	5	0	1	0	3	3	1	2	3	2	0	0	1	3
0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
628895	455910	358378	270627	179215	89247	134823	332993	518693	584349	568420	544827	563673	570593	570716	582417	544754	511138	673768	787564	823499	835501	859810	796021
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6373	5177	4097	3382	2930	2108	985	1120	1250	1153	1147	1273	1691	1927	2095	2546	2629	2597	3497	4328	5217	6102	6726	6785
619902	408201	276333	189215	128898	82656	158571	404191	668382	741552	813125	902594	964422	978560	964991	1038371	992484	900297	1098922	1198957	1093929	989149	978742	860276
311	184	151	117	85	131	398	954	1745	2249	2212	2393	2254	2248	2305	2593	2643	1807	1703	1545	1021	840	599	414
148074	119408	91246	69469	58625	43061	50670	115740	156989	141038	130693	128524	128577	134783	138845	148245	150742	151537	173708	174737	167746	165249	165857	162694
4753	4635	3706	2979	2715	2426	1963	2112	3715	3657	2838	2786	2701	2744	2905	3242	3293	3250	3898	3927	4042	4034	4080	4273
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11	8	3	6	6	12	24	43	56	76	77	97	117	92	108	110	79	58	48	46	30	13	15	16
79	82	64	42	32	37	15	39	50	71	50	39	63	72	58	78	98	115	118	108	80	78	78	68
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9464	9038	7146	5393	4447	3480	1962	1863	2330	2654	2754	2973	2975	3393	3598	4082	4679	5053	5378	6206	6783	7264	8080	8932
3	2	0	0	1	0	0	0	0	2	0	0	0	2	0	1	3	0	2	0	1	1	0	1
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	3	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	3	3	4	3	1	2	2	1	2	5	4	3	2	6	8	10	5	5	3	5	6	6	5
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	4	2	4	6	3	7	2	1
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	3	2	1	1	8	0	1	1	1	5	0	4	2	2	3	1	3	3	4	0	4	6	1
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
29	25	19	8	16	13	27	29	28	45	41	35	33	53	52	51	62	59	68	141	163	101	48	29
5	1	3	2	2	29	3	2	2	2	3	4	4	4	7	9	4	13	9	12	6	10	9	10
4	2	4	4	2	5	2	1	4	32	38	13	22	21	25	24	32	7	7	1	8	0	1	2
1	4	1	0	2	1	1	0	0	2	5	3	2	10	9	4	7	6	5	6	5	4	6	5
204092	197641	164828	126115	102720	72004	41952	43170	59597	67347	66846	67283	69212	70841	76901	83000	88605	95154	112593	127805	138491	151504	167226	188441
5	7	2	0	0	1	1	3	1	1	1	0	4	3	4	0	4	4	10	3	3	6	2	2
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	0	1	0	0	0	0	0	1	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9162	7542	5430	3689	2989	2705	2138	2268	2369	2682	2987	3172	3287	3730	4307	5327	6131	6519	7170	8223	8295	8715	9014	9427
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1519	1333	961	701	522	464	490	493	442	439	417	496	478	642	680	776	800	860	782	999	1035	1124	1242	1422
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
