0;4074
1;2
2;0
3;0
4;5391
5;0
6;0
7;38
8;7146
9;15
10;4191
11;515
12;0
13;0
14;3
15;10
16;0
17;1447
18;0
19;0
20;0
21;0
22;0
23;0
24;0
25;0
26;0
27;0
28;0
29;0
30;0
31;0
32;0
33;0
34;0
35;0
36;0
37;0
38;0
39;0
40;0
41;0
42;4617
43;0
44;0
45;0
46;0
47;0
48;1344
49;0
50;964
51;0
52;0
53;21
54;6
55;1
56;3
57;0
58;0
59;0
60;0
61;0
62;0
63;0
64;0
65;0
66;0
67;0
68;0
69;14
70;0
71;0
72;0
73;2
74;0
75;1999
76;0
77;0
78;800
79;0
80;0
81;0
82;0
83;0
84;1104
85;0
86;0
87;0
88;27
89;1416
90;5121
91;1386
92;1213
93;95
94;1149
95;3936
96;1751
97;6479
98;1829
99;2362
100;1921
101;1796
102;2495
103;621
104;6361
105;5411
106;1115
107;3667
108;1490
109;1274
110;2404
111;964
112;1515
113;1404
114;1028
115;57
116;47
117;2584
118;1574
119;2398
120;726
121;5559
122;1092
123;2504
124;1698
125;2300
126;106
127;2602
128;196
129;616
130;9861
131;3755
132;3
133;1242
134;12861
135;1269
136;4625
137;6168
138;3626
139;7436
140;4688
141;1868
142;165
143;0
144;0
145;0
146;0
147;0
148;906
